"Subject","Metabolite","Sequence","Location","Field","CV_tCr","CV_tissue"
"sub-03","Glu","slaser","ll",3,1.32666996212361,5.51213546668413
"sub-04","Glu","slaser","ll",3,1.41409847994356,3.90552153832949
"sub-05","Glu","slaser","ll",3,1.71652346808622,0.865736097904348
"sub-01","Glu","slaser","ul",7,1.01951661106129,1.3056354852007
"sub-02","Glu","slaser","ul",7,1.81837385826873,6.06873874769992
"sub-03","Glu","slaser","ul",7,0.84085438179465,1.92527880140966
"sub-04","Glu","slaser","ul",7,4.33904636874383,4.82729567757712
"sub-05","Glu","slaser","ul",7,2.63918419115278,0.127827847404505
"sub-01","Glu","slaser","ll",7,2.69572866021186,7.11308311732215
"sub-02","Glu","slaser","ll",7,0.965585129139012,0.183112996083163
"sub-03","Glu","slaser","ll",7,3.73271611709542,0.792206287067171
"sub-04","Glu","slaser","ll",7,3.15540204396174,0.245093148529508
"sub-05","Glu","slaser","ll",7,2.09986489219984,0.554217002468754
"sub-01","GSH","steam","ul",3,0.101309951641953,0.32098786755307
"sub-02","GSH","steam","ul",3,4.64017302018263,1.80282695471544
"sub-03","GSH","steam","ul",3,14.6162039674552,14.2168758629883
"sub-04","GSH","steam","ul",3,0.057606050604329,1.54655621762394
"sub-05","GSH","steam","ul",3,4.82219844296558,2.36612170020049
"sub-01","GSH","steam","ll",3,11.241733353478,19.2790732654665
"sub-02","GSH","steam","ll",3,20.987760997527,22.938955458223
"sub-03","GSH","steam","ll",3,14.4353038958963,7.01643660430926
"sub-04","GSH","steam","ll",3,0.711126947236148,0.743565518001826
"sub-05","GSH","steam","ll",3,7.54726714725217,7.66973488205063
"sub-01","GSH","steam","ul",7,5.71784376713586,8.87267125300261
"sub-02","GSH","steam","ul",7,14.8757514816669,14.1741406549598
"sub-03","GSH","steam","ul",7,16.2340422823632,16.5304450722838
"sub-04","GSH","steam","ul",7,29.6451241704124,31.5965161702906
"sub-05","GSH","steam","ul",7,18.3733146798692,19.3080077131065
"sub-01","GSH","steam","ll",7,15.7455317724809,16.0699582539679
"sub-02","GSH","steam","ll",7,8.87475709050175,5.9549694442951
"sub-03","GSH","steam","ll",7,14.1076481403361,16.8963765647489
"sub-04","GSH","steam","ll",7,NA,NA
"sub-05","GSH","steam","ll",7,3.93856557352748,7.59900144672124
"sub-01","GSH","slaser","ul",3,2.64044688187524,3.9896346160777
"sub-02","GSH","slaser","ul",3,9.68059845471981,3.99155816796975
"sub-03","GSH","slaser","ul",3,22.6513733110735,6.56002911878587
"sub-04","GSH","slaser","ul",3,8.86798958938947,0.0107677995391929
"sub-05","GSH","slaser","ul",3,30.7370436448553,3.87524687020639
"sub-01","GSH","slaser","ll",3,31.6157790453977,24.5163103905919
"sub-02","GSH","slaser","ll",3,18.1200572114023,17.835804052044
"sub-03","GSH","slaser","ll",3,21.8792188641216,24.2567060549791
"sub-04","GSH","slaser","ll",3,0.466659087565275,19.8742434523062
"sub-05","GSH","slaser","ll",3,5.9865605467658,0.84647841852072
"sub-01","GSH","slaser","ul",7,6.06674816803,6.37036505956137
"sub-02","GSH","slaser","ul",7,6.11171002046727,10.5225085404564
"sub-03","GSH","slaser","ul",7,0.773088703850685,1.95546536234064
"sub-04","GSH","slaser","ul",7,1.99555938819308,1.52859845514775
"sub-05","GSH","slaser","ul",7,4.29793470646587,7.04753738615146
"sub-01","GSH","slaser","ll",7,5.40589732763268,0.916145115937624
"sub-02","GSH","slaser","ll",7,7.83204561049429,8.9159453471633
"sub-03","GSH","slaser","ll",7,17.9498032079459,14.9075258959516
"sub-04","GSH","slaser","ll",7,1.01059962487393,4.38837606150416
"sub-05","GSH","slaser","ll",7,0.0755135932232194,1.32155412623887
"sub-01","Ins","steam","ul",3,0.550425022397877,0.972710598311534
"sub-02","Ins","steam","ul",3,4.21791183226428,7.05222347928983
"sub-03","Ins","steam","ul",3,1.14668412898563,0.743180552270723
"sub-04","Ins","steam","ul",3,2.50609908057013,0.902125634074776
"sub-05","Ins","steam","ul",3,4.64679972023557,2.19057171825884
"sub-01","Ins","steam","ll",3,1.02748522694303,9.14905620721535
"sub-02","Ins","steam","ll",3,5.53656201030769,7.53171520714285
"sub-03","Ins","steam","ll",3,0.513353964560996,7.96845803243654
"sub-04","Ins","steam","ll",3,3.34454657428983,4.79803370963769
"sub-05","Ins","steam","ll",3,2.00907102408887,1.88627093087687
"sub-01","Ins","steam","ul",7,0.86829977686417,2.28574300711917
"sub-02","Ins","steam","ul",7,3.04915812353946,2.34032478941448
"sub-03","Ins","steam","ul",7,1.68569603397356,1.38529718319801
"sub-04","Ins","steam","ul",7,1.86865796066413,0.17334090667588
"sub-05","Ins","steam","ul",7,1.04590021529573,0.0961811159521149
"sub-01","Ins","steam","ll",7,2.03839176129498,2.35272782913549
"sub-02","Ins","steam","ll",7,2.19002834822411,0.665462168198968
"sub-03","Ins","steam","ll",7,6.03007972918422,3.2104444026558
"sub-04","Ins","steam","ll",7,10.3513706306905,7.14058470689392
"sub-05","Ins","steam","ll",7,0.624066001016743,4.31642203948336
"sub-01","Ins","slaser","ul",3,0.0138912298057286,6.64045190824822
"sub-02","Ins","slaser","ul",3,8.00763078488146,2.31285632913965
"sub-03","Ins","slaser","ul",3,4.26423331485774,0.958238744656928
